applicant_id_hash,age,annual_income,employment_length_years,home_ownership,region,num_open_accounts,num_delinquencies_2yr,total_revolving_balance,credit_utilisation_pct,months_since_oldest_account,num_hard_inquiries_6mo,loan_amount,interest_rate,loan_purpose,dti_ratio,months_since_last_delinquency,pct_accounts_current,application_date,application_dow,branch_code_id,months_at_current_address,email_domain_type,phone_verified,default_flag,set
af1de2caf9e65f1e,29.0,79292.0,4.7,RENT,Central-Urban,6.0,3,407.0,44.8,123.0,1,15121.0,13.01,debt_consolidation,0.202,4.0,75.1,2023-03-24,Saturday,154,92,other,True,0,train
3638cdd4779fdb69,21.0,54467.0,4.0,MORTGAGE,South-Urban,10.0,0,1874.0,17.6,39.0,2,11131.0,8.71,education,0.134,,98.2,2021-12-24,Saturday,904,157,other,True,0,test
5abcc178580caaf7,24.8,80773.0,4.4,MORTGAGE,North-Suburban,12.0,0,7743.0,56.4,92.0,4,14309.0,7.21,medical,0.175,,72.2,2023-05-21,Sunday,847,48,free,True,0,test
46cba6782c70ba94,22.9,66850.0,1.5,MORTGAGE,South-Urban,10.0,4,5489.0,29.4,65.0,2,11805.0,16.96,debt_consolidation,0.385,7.0,75.2,18-May-2023,Monday,310,139,free,True,0,test
bc36d344cb70888c,33.1,28852.0,0.0,OWN,East-Urban,4.0,1,2827.0,22.7,152.0,0,7674.0,13.62,small_business,0.12,25.0,67.1,2022-11-17,Thursday,821,229,free,True,0,train
d28788e935df038f,43.8,29565.0,7.0,MORTGAGE,East-Suburban,5.0,0,0.0,36.3,207.0,1,10423.0,10.49,other,0.266,,90.8,2023-04-10,Friday,414,99,free,True,0,train
9ce9af50e59a8819,31.3,80330.0,9.0,RENT,North-Suburban,5.0,0,5471.0,25.4,155.0,1,9031.0,6.08,major_purchase,0.097,,85.2,2021-04-18,Sunday,978,37,corporate,True,0,test
67ac57fce3dfd1c8,64.3,22953.0,7.5,OWN,Central-Urban,7.0,0,1189.0,2.2,362.0,2,9225.0,10.4,Home Improvement,0.174,,93.6,2023-06-27,Friday,625,215,free,True,0,test
42e68f2dda2f939d,37.0,208740.0,3.2,OWN,North-Urban,3.0,0,8915.0,15.5,202.0,0,14183.0,8.58,small_business,0.05,,93.4,2021-08-02,Wednesday,938,50,corporate,True,0,train
4c2509608226b67f,43.6,66605.0,2.8,MORTGAGE,South-Suburban,3.0,0,1375.0,30.3,202.0,2,17208.0,9.39,home_improvement,0.198,,86.1,2022-07-12,Sunday,967,41,free,False,0,train
8323d74e1d96c17e,47.5,76918.0,7.0,RENT,South-Suburban,11.0,1,7169.0,36.5,230.0,1,25775.0,8.99,DEBT_CONSOLIDATION,0.174,17.0,87.2,2021-12-02,Friday,174,213,corporate,True,0,train
acd17d47b03a6fb4,56.2,140149.0,7.5,OWN,East-Suburban,3.0,0,15137.0,60.5,311.0,2,15656.0,8.33,medical,0.149,89.0,87.6,2023-07-31,Saturday,653,143,corporate,True,0,train
a4151ed1292023ae,22.2,54662.0,2.6,MORTGAGE,East-Suburban,4.0,0,2792.0,0.0,55.0,1,16589.0,14.8,home_improvement,0.224,,91.0,2021-09-05,Wednesday,799,107,corporate,True,0,train
4925b1ec6c2fb7c5,28.9,,0.3,MORTGAGE,South-Urban,13.0,2,1267.0,50.8,152.0,0,10428.0,15.88,education,0.182,1.0,77.7,2022-04-17,Sunday,707,127,free,True,1,test
06004e3cace0a863,40.1,121653.0,2.7,OTHER,East-Suburban,6.0,0,8107.0,73.8,231.0,4,11463.0,9.15,debt_consolidation,0.15,,76.3,2021-09-23,Thursday,505,210,corporate,False,0,test
743a670281a064ea,45.5,,,OWN,East-Urban,9.0,1,5550.0,38.0,252.0,3,7444.0,11.25,Debt Consolidation,0.133,46.0,82.8,2023-06-19,Wednesday,854,159,corporate,True,0,test
3be8b093820d2ab0,52.3,47580.0,10.8,rent,West-Suburban,11.0,0,5217.0,51.3,259.0,2,15216.0,8.05,debt_consolidation,0.187,,88.0,2022-01-12,Sunday,851,230,free,True,0,train
ae2911cb034cb72e,50.1,60670.0,4.9,MORTGAGE,West-Suburban,9.0,0,6315.0,28.3,263.0,0,15825.0,10.42,Debt Consolidation,0.14,,84.3,2022-02-10,Tuesday,503,177,free,True,0,train
6d1f213428f37814,35.6,88518.0,4.3,rent,North-Urban,4.0,2,8653.0,36.2,143.0,2,9646.0,8.42,debt_consolidation,0.068,13.0,77.3,2021-05-25,Thursday,460,98,free,False,0,train
1fe584d88fe82332,42.2,99569.0,3.1,MORTGAGE,North-Urban,10.0,0,6180.0,18.2,261.0,1,7963.0,8.74,debt_consolidation,0.148,,83.3,08/31/2021,Friday,395,226,corporate,False,0,test
fc3feabd55d7ea12,29.2,60685.0,8.0,OWN,North-Suburban,9.0,2,5784.0,71.5,132.0,3,10987.0,12.4,medical,0.302,25.0,79.2,2021-06-20,Thursday,353,200,free,True,0,train
1b0c43ec95b8dc67,30.1,104480.0,1.2,OWN,West-Suburban,6.0,3,9758.0,68.6,93.0,1,9660.0,13.98,major_purchase,0.16,1.0,66.2,2022-11-04,Tuesday,565,17,free,True,0,train
35ced26fbac092dc,33.7,55059.0,10.1,OWN,North-Suburban,7.0,0,2411.0,36.8,130.0,1,9746.0,11.25,major_purchase,0.127,,67.9,2023-08-01,Saturday,510,169,free,True,0,train
b3b77c6be01fb827,27.6,51955.0,4.8,MORTGAGE,East-Urban,7.0,0,6847.0,59.1,79.0,1,6437.0,11.71,education,0.099,,94.4,2022-09-27,Thursday,796,177,free,True,0,train
00927ed9fc570676,51.3,85124.0,8.4,OTHER,North-Suburban,9.0,2,6536.0,15.2,306.0,0,10050.0,10.41,small_business,0.226,22.0,58.6,08-Nov-2022,Thursday,501,53,free,True,0,train
bb81101ec2556054,39.8,54403.0,0.7,MORTGAGE,North-Suburban,13.0,0,8426.0,33.2,168.0,2,17550.0,12.15,debt_consolidation,0.142,66.0,86.4,2021-04-04,Saturday,169,10,corporate,True,0,train
e670274e7a17f1d9,33.2,74337.0,8.3,RENT,Central-Suburban,7.0,2,5279.0,18.3,116.0,2,10096.0,13.9,education,0.218,5.0,84.5,28/01/2023,Wednesday,956,167,free,False,0,train
3e10e0fa8a752eb1,25.1,17802.0,,MORTGAGE,West-Suburban,6.0,0,1575.0,54.3,68.0,2,12859.0,16.94,education,0.294,2.0,73.0,2022-08-04,Friday,432,46,free,True,1,train
9a641bdd0b1f7fa9,34.7,16717.0,5.6,MORTGAGE,East-Urban,8.0,0,8774.0,78.6,124.0,1,4051.0,15.86,other,0.438,,81.9,2021-03-31,Wednesday,490,116,free,False,0,train
e40e97d993c51b5d,39.4,29961.0,8.1,MORTGAGE,Central-Suburban,7.0,1,0.0,27.3,176.0,0,13055.0,16.23,home_improvement,0.329,1.0,82.4,2021-11-05,Sunday,236,42,corporate,True,0,test
411fd81aa11b3d10,37.9,17104.0,8.4,OTHER,South-Urban,7.0,1,0.0,29.3,178.0,0,11210.0,14.45,debt_consolidation,0.326,1.0,37.4,2023-01-12,Saturday,418,117,free,True,1,train
8ca9b9b02c7880a9,21.0,30980.0,5.1,MORTGAGE,North-Suburban,9.0,0,2317.0,33.3,113.0,1,10917.0,8.98,home_improvement,0.153,,93.1,12-Apr-2022,Sunday,368,84,corporate,True,1,train
3b02c0cc80c7fdfe,61.8,75583.0,11.0,OWN,East-Urban,12.0,0,5700.0,31.0,354.0,2,7015.0,12.76,major_purchase,0.155,1.0,78.7,2022-09-26,Tuesday,889,155,free,True,0,train
0db520ab2fadf8ed,49.2,34187.0,4.9,MORTGAGE,West-Urban,6.0,0,4911.0,71.1,224.0,1,6919.0,12.32,medical,0.098,,95.7,03/05/2021,Thursday,523,171,free,True,0,train
abefd701ae705608,49.5,140247.0,8.2,RENT,North-Suburban,11.0,3,6049.0,13.4,264.0,3,7897.0,9.25,debt_consolidation,0.073,11.0,70.9,2021-10-25,Monday,917,39,free,True,0,train
d592f6e1cef2d3e3,22.5,,0.0,MORTGAGE,Central-Urban,8.0,0,1309.0,58.4,76.0,2,7755.0,11.5,medical,0.124,,98.3,2022-02-04,Tuesday,268,21,free,True,0,train
20ab2b01d8eca648,21.0,,0.0,MORTGAGE,East-Suburban,9.0,0,10056.0,62.4,101.0,4,8485.0,16.76,debt_consolidation,0.198,,94.3,01/17/2021,Monday,750,29,corporate,True,0,train
c8a7d778f765facb,28.3,111187.0,1.0,OWN,Central-Urban,10.0,3,8375.0,15.8,112.0,2,22409.0,14.09,other,0.109,18.0,77.7,2022-12-24,Monday,661,76,other,True,1,train
72c05f5a83325ff0,40.0,41199.0,3.3,RENT,Central-Urban,8.0,1,9991.0,52.2,168.0,1,11598.0,14.44,home improvement,0.15,36.0,84.6,2021-02-27,Thursday,876,11,free,True,0,test
38251dcff7cf1856,29.4,,0.0,Owner,South-Urban,6.0,2,7431.0,52.6,128.0,1,10982.0,10.94,home_improvement,0.36,3.0,66.6,2022-05-05,Sunday,344,10,free,True,1,train
974b9616a394f33a,21.0,31956.0,6.9,mortgage,North-Suburban,9.0,0,0.0,22.0,33.0,1,7854.0,11.54,major_purchase,0.16,,86.3,31-Aug-2021,Thursday,918,63,free,True,0,test
88fe9159f2724dfd,61.6,36398.0,,MORTGAGE,Central-Suburban,,0,916.0,32.2,327.0,3,8374.0,11.91,debt_consolidation,0.218,,93.0,17/01/2022,Tuesday,227,193,free,True,0,train
86c5ebec72b668e5,27.8,35877.0,3.3,RENT,East-Suburban,11.0,0,0.0,20.5,87.0,0,8823.0,12.7,small_business,0.296,,95.1,2023-04-09,Tuesday,248,23,free,True,0,train
6b1b38ab395a0a85,30.8,53206.0,2.5,MORTGAGE,Central-Suburban,4.0,4,3383.0,47.9,197.0,2,7909.0,17.98,home_improvement,0.168,111.0,79.3,2021-10-04,Monday,984,82,free,True,0,train
04bf65a3c40d490b,28.1,80920.0,0.4,Renting,South-Urban,7.0,0,8934.0,41.2,135.0,0,13314.0,12.53,debt_consolidation,0.284,,78.3,2023-04-01,Saturday,794,109,free,True,0,train
38b643664813a819,36.0,53451.0,6.4,MORTGAGE,South-Urban,10.0,0,9530.0,56.7,127.0,1,15436.0,10.26,home_improvement,0.191,,66.8,2023-03-31,Friday,895,206,corporate,True,0,train
499c1a80ea271e18,30.0,57003.0,3.8,OWN,South-Urban,3.0,0,0.0,25.6,112.0,1,14163.0,8.56,debt_consolidation,0.122,,99.5,2022-11-30,Tuesday,387,160,corporate,True,0,test
e8aae082d37bc499,45.6,27072.0,1.6,OTHER,South-Urban,8.0,2,6446.0,73.6,242.0,2,12190.0,16.74,education,0.212,36.0,87.7,2021-12-23,Wednesday,975,222,free,False,0,train
4182f63e4950ba71,49.4,158902.0,3.3,MORTGAGE,South-Urban,10.0,0,3761.0,21.6,228.0,4,16854.0,8.8,debt_consolidation,0.105,,70.2,2023-10-14,Wednesday,860,42,corporate,True,0,train
33e28d5aac12074b,26.0,31769.0,18.1,MORTGAGE,North-Urban,5.0,1,6346.0,36.1,135.0,3,9685.0,15.2,small_business,0.337,48.0,82.7,2021-12-24,Tuesday,317,31,free,True,1,train
3ff866678d928d8d,55.4,43611.0,8.5,own,East-Urban,8.0,0,2548.0,37.6,276.0,0,14210.0,12.51,debt_consolidation,0.116,28.0,79.0,2021-10-10,Thursday,825,3,corporate,True,0,train
1493a161536293e0,50.3,31785.0,7.9,MORTGAGE,South-Suburban,7.0,0,1284.0,13.5,262.0,1,5888.0,11.94,medical,0.222,,65.6,2022-06-12,Tuesday,157,211,free,True,0,train
e7cc72ac5ebe3f50,21.2,71959.0,0.0,Renting,North-Urban,8.0,0,7398.0,47.8,91.0,5,12034.0,10.58,home_improvement,0.209,,89.9,2022-01-08,Monday,747,181,free,True,1,test
f76aba51e1b30f20,31.2,37957.0,5.9,Own,South-Suburban,4.0,0,4898.0,66.6,121.0,1,9193.0,11.9,medical,0.177,,88.4,2021-04-23,Monday,886,85,free,True,0,train
3f6c36b52ddc6f54,38.0,50768.0,4.4,MORTGAGE,East-Suburban,8.0,3,2301.0,19.2,159.0,3,12191.0,13.12,debt_consolidation,0.158,1.0,74.3,2022-09-03,Monday,163,200,free,True,0,test
611fd207e7413c02,32.6,92553.0,3.5,OWN,Central-Suburban,6.0,3,13238.0,68.1,116.0,1,13249.0,16.68,major_purchase,0.186,,85.9,2023-10-14,Monday,339,102,other,True,0,test
050d53a6854ae55a,21.0,41249.0,0.0,RENT,Central-Urban,9.0,0,0.0,4.5,62.0,0,9266.0,12.39,education,0.263,,90.7,2022-08-01,Friday,826,23,free,True,0,train
d949018b6eb0dc78,39.0,13482.0,2.7,OWN,East-Urban,7.0,0,934.0,11.4,154.0,4,5762.0,14.88,debt_consolidation,0.29,,92.0,2022-12-12,Monday,297,99,free,True,0,test
25320fd154bff393,44.6,84451.0,9.1,MORTGAGE,East-Suburban,7.0,0,2862.0,17.5,227.0,0,5839.0,7.05,medical,0.209,,76.5,2022-05-15,Sunday,751,214,free,True,0,train
75da8c95edcfa1cc,44.1,63923.0,4.5,RENT,North-Urban,5.0,0,6203.0,24.1,214.0,2,9129.0,11.39,education,0.171,63.0,88.3,2023-07-04,Wednesday,953,86,free,True,0,train
410a0227ae70a7e3,24.0,73902.0,2.5,MORTGAGE,West-Suburban,9.0,0,0.0,29.0,38.0,2,9675.0,11.15,medical,0.257,,97.5,2023-11-13,Sunday,169,169,free,True,0,train
e088936c589f63c0,52.5,108784.0,7.8,MORTGAGE,North-Urban,8.0,2,791.0,49.1,284.0,3,490392.0,8.79,OTHER,0.098,1.0,83.1,2023-12-05,Sunday,968,5,corporate,True,0,train
bfe321d661c9ca50,37.0,21516.0,7.5,RENT,North-Suburban,11.0,0,2096.0,36.7,153.0,2,8962.0,11.17,major_purchase,0.16,,87.4,2022-12-24,Saturday,349,185,free,True,0,train
ba210585823fe463,28.7,89288.0,2.9,MORTGAGE,West-Urban,8.0,0,5611.0,14.7,111.0,1,11043.0,7.96,debt_consolidation,0.219,,81.6,03-Jun-2023,Saturday,785,14,free,True,0,train
2cfecb6113008b43,42.3,43317.0,4.9,MORTGAGE,North-Urban,9.0,0,3992.0,44.6,190.0,1,6642.0,10.67,home_improvement,0.221,,84.7,30-May-2022,Saturday,751,39,free,True,0,test
5db0c62587557456,21.0,22906.0,7.5,Rent,East-Suburban,5.0,2,56.0,52.3,26.0,1,5008.0,13.44,debt_consolidation,0.195,3.0,71.5,2021-09-14,Sunday,328,90,free,False,0,test
a4a15e8d256a397d,41.0,67459.0,3.8,MORTGAGE,East-Urban,9.0,1,9346.0,56.3,222.0,0,12448.0,13.03,major_purchase,0.238,,69.9,2022-08-24,Monday,811,19,free,True,0,train
cd019d7025ffefbd,54.2,12393.0,3.3,MORTGAGE,North-Suburban,7.0,3,0.0,62.2,271.0,0,10265.0,16.75,medical,0.196,30.0,70.4,2021-09-10,Wednesday,134,74,other,True,0,train
bf05292b12c22d76,21.0,88859.0,2.2,RENT,Central-Urban,9.0,0,5747.0,64.1,67.0,1,8587.0,8.96,other,0.15,,81.9,10/12/2023,Wednesday,541,70,corporate,True,0,train
49d80c0d4ecaaf09,31.3,29844.0,,OWN,Central-Suburban,9.0,0,0.0,36.4,108.0,1,10659.0,12.75,Major Purchase,0.184,10.0,83.4,2023-05-01,Monday,643,31,corporate,False,0,train
b3bc6ae7326011f4,50.1,71721.0,7.0,MORTGAGE,East-Suburban,3.0,0,915.0,16.7,261.0,0,10015.0,12.35,home_improvement,0.284,,71.0,2022-03-26,Wednesday,168,42,corporate,False,0,train
e2e62ee2b5925b0f,56.8,60295.0,8.3,MORTGAGE,East-Suburban,,4,652.0,23.6,303.0,0,5697.0,14.03,education,0.158,16.0,38.2,2021-10-07,Saturday,264,28,corporate,True,0,test
992cfb0a767fcb90,40.2,61737.0,2.0,RENT,North-Suburban,10.0,0,7809.0,37.3,193.0,3,24588.0,11.68,debt_consolidation,0.139,,76.9,08/04/2022,Monday,860,71,corporate,True,0,train
8ee0cf3fdb16cfcc,44.9,86641.0,1.2,RENT,East-Suburban,12.0,0,695.0,18.2,227.0,1,14892.0,10.12,debt_consolidation,0.18,,74.2,2022-03-23,Saturday,422,146,free,False,0,test
ad1f9a4f74527a7c,34.2,13552.0,5.8,RENT,Central-Urban,7.0,2,0.0,59.5,141.0,0,9245.0,19.1,major purchase,0.385,1.0,75.0,2023-09-13,Saturday,716,43,free,True,1,train
6e92cd43d897600c,65.2,23157.0,11.1,RENT,East-Suburban,7.0,2,490.0,64.0,354.0,3,9257.0,17.97,medical,0.247,1.0,58.7,2021-04-11,Monday,218,93,free,True,1,test
be50ae78536af6a5,30.9,101427.0,3.6,MORTGAGE,East-Suburban,6.0,0,5675.0,67.1,107.0,4,11976.0,11.93,major_purchase,0.142,,77.7,2023-06-30,Wednesday,135,63,free,True,0,test
1d6ddedd6a5696fc,51.6,24766.0,15.8,Mortgage,East-Suburban,8.0,2,2417.0,20.6,324.0,1,5208.0,13.4,debt_consolidation,0.368,38.0,49.0,2022-10-12,Thursday,762,82,free,True,0,train
3f7feffa318a91cd,44.1,58969.0,2.6,MORTGAGE,North-Urban,9.0,3,2407.0,13.6,224.0,0,6057.0,13.61,debt_consolidation,0.11,1.0,75.5,2023-11-18,Saturday,724,227,free,True,0,train
41ae1d69fde97aaf,44.0,141882.0,10.1,MORTGAGE,North-Suburban,10.0,4,4556.0,11.8,223.0,1,20576.0,15.43,medical,0.274,18.0,71.3,2022-06-25,Tuesday,768,195,free,False,0,train
2ee17ea26828aa97,51.3,23485.0,9.1,MORTGAGE,South-Suburban,7.0,2,4474.0,35.6,303.0,2,9284.0,17.24,debt_consolidation,0.226,1.0,81.2,2023-02-08,Sunday,543,139,other,True,0,train
106218c6983c13ee,43.2,89104.0,15.9,MORTGAGE,Central-Suburban,13.0,0,9897.0,77.4,218.0,1,13113.0,8.49,debt_consolidation,0.058,22.0,94.4,2022-12-02,Saturday,341,188,free,True,0,test
3788bcdd9cf5bfc1,54.2,41119.0,7.0,RENT,East-Suburban,8.0,0,6580.0,73.9,283.0,4,13765.0,14.25,medical,0.334,52.0,65.6,2021-04-03,Wednesday,314,24,free,True,0,train
3d91992dbfd9a958,21.0,17538.0,5.0,MORTGAGE,Central-Suburban,8.0,2,0.0,53.5,22.0,2,13647.0,15.56,medical,0.173,44.0,70.1,2021-02-24,Friday,696,233,corporate,True,1,train
e00275934d687558,29.1,22270.0,7.2,OTHER,North-Suburban,7.0,0,0.0,14.0,105.0,1,11894.0,13.78,debt_consolidation,0.175,,89.5,2021-03-20,Monday,290,123,free,True,0,train
ad3ac931d5e6ee48,46.8,47751.0,5.1,MORTGAGE,North-Suburban,12.0,1,4311.0,29.3,211.0,2,7826.0,12.18,debt_consolidation,0.306,39.0,70.6,2021-10-01,Friday,374,169,other,True,0,test
005a4d466e6e3271,39.4,55062.0,6.1,OTHER,North-Suburban,6.0,0,453.0,38.2,190.0,1,11099.0,11.81,debt_consolidation,0.272,,73.0,2022-12-09,Saturday,804,201,corporate,True,0,test
d6cd72a69a01d726,40.4,1500000.0,3.0,Own,East-Suburban,6.0,0,10271.0,61.3,181.0,1,11919.0,8.7,home_improvement,0.067,,77.0,07/13/2023,Sunday,832,218,free,False,0,train
3c72bd5fb6e7e191,40.0,,0.4,MORTGAGE,Central-Urban,14.0,4,2146.0,18.0,166.0,3,12449.0,14.85,education,0.148,1.0,74.7,2023-07-02,Friday,836,193,corporate,True,1,test
c4a53d83e2473d00,36.0,28138.0,0.6,RENT,West-Suburban,5.0,0,1066.0,37.0,144.0,3,11024.0,11.8,home_improvement,0.227,42.0,66.6,2022-04-07,Thursday,444,37,free,True,1,train
179d419e190e9de4,45.2,98731.0,9.5,RENT,East-Suburban,7.0,0,5420.0,51.5,240.0,0,9793.0,5.0,debt_consolidation,0.088,,96.8,03/03/2021,Friday,798,68,free,False,0,test
0be86b11c8a752bc,40.8,43555.0,5.1,RENT,Central-Suburban,7.0,0,2138.0,58.7,179.0,2,7613.0,13.69,debt_consolidation,0.262,,69.9,2022-10-26,Saturday,457,147,free,True,0,test
24a0dd6852e02930,41.6,34085.0,7.8,MORTGAGE,North-Urban,7.0,0,453.0,52.7,168.0,1,6823.0,14.16,education,0.178,,85.0,2022-09-10,Monday,992,164,free,True,0,train
53f6bc86b86d75ab,35.3,58480.0,1.1,OWN,East-Urban,12.0,0,4571.0,51.3,127.0,2,9047.0,11.99,other,0.113,,84.3,2022-02-22,Friday,959,111,free,False,0,train
e0e32e3105ce90ea,49.2,63105.0,3.6,OWN,South-Urban,13.0,0,0.0,4.8,244.0,5,7921.0,6.34,major_purchase,0.135,,82.1,2022-05-23,Friday,969,66,corporate,False,0,train
4ba4219b4552e2ce,27.7,27086.0,1.4,OWN,West-Urban,5.0,0,4646.0,34.8,125.0,3,3193.0,12.01,major_purchase,0.273,23.0,87.8,07/07/2022,Wednesday,833,227,free,True,0,train
86926d32860b843b,35.1,16819.0,13.2,RENT,East-Suburban,11.0,1,649.0,65.5,172.0,2,8671.0,14.7,medical,0.198,43.0,85.6,05/25/2021,Wednesday,607,22,free,True,0,train
69cbf0aa52b642a7,35.3,,4.0,OTHER,Central-Suburban,10.0,0,14807.0,69.6,152.0,0,16028.0,9.74,debt_consolidation,0.099,,86.8,08-Nov-2023,Tuesday,162,51,corporate,True,0,train
5268ca821bc1b664,50.0,97883.0,,OWN,South-Urban,9.0,0,6975.0,23.8,241.0,3,8798.0,13.49,debt_consolidation,0.281,,96.7,2022-01-06,Wednesday,204,214,free,True,0,test
e1427d0c69c33656,41.2,46121.0,5.6,MORTGAGE,North-Urban,4.0,2,4021.0,39.2,182.0,1,14752.0,13.54,debt_consolidation,0.241,1.0,88.2,2021-03-06,Wednesday,894,226,corporate,True,0,test
f03cdeaf823ee19b,23.3,65670.0,7.2,MORTGAGE,West-Suburban,4.0,4,6813.0,30.2,46.0,2,13520.0,13.38,debt_consolidation,0.162,1.0,67.3,2022-12-02,Wednesday,828,36,corporate,True,0,train
4fae24b6ecedeb6a,30.9,63239.0,6.1,MORTGAGE,West-Urban,8.0,0,0.0,16.6,84.0,0,6058.0,11.8,debt_consolidation,0.426,,87.4,2021-02-17,Tuesday,103,64,free,True,0,train
2517145eec6a43c1,32.1,81622.0,16.1,MORTGAGE,North-Suburban,13.0,2,10506.0,58.2,241.0,1,11547.0,15.23,other,0.285,13.0,89.5,03/12/2023,Friday,355,82,free,True,0,train
b32340fc8394a50d,49.0,113244.0,8.1,RENT,South-Urban,12.0,0,5734.0,15.8,227.0,0,29495.0,5.75,home_improvement,0.05,,94.3,01/23/2023,Saturday,552,75,free,True,0,test
93528a4fef5a6fe1,31.4,29374.0,7.3,Renting,South-Urban,10.0,0,2702.0,37.3,126.0,1,7922.0,10.55,major_purchase,0.201,18.0,88.7,2021-01-01,Saturday,682,122,free,True,1,train
ede6c0bd972faa21,31.2,24909.0,1.2,MORTGAGE,South-Suburban,9.0,0,2141.0,8.4,157.0,0,10436.0,15.07,home_improvement,0.291,,81.1,08/06/2021,Saturday,257,48,corporate,True,0,test
547b480c540b3289,27.0,18874.0,1.1,MORTGAGE,West-Urban,6.0,1,5616.0,11.2,77.0,1,6690.0,15.97,debt_consolidation,0.288,52.0,81.7,2022-10-20,Tuesday,431,219,free,True,1,train
ae6290d27ed1c808,36.7,,,Mortgage,West-Urban,10.0,0,5025.0,67.8,140.0,3,14253.0,12.39,debt consolidation,0.109,,89.6,02/13/2022,Tuesday,251,234,free,True,0,train
